sample,rank_after_sample,case,title,family
0,0,grow7,GROW7,netlib
1,17,grow7,GROW7,netlib
2,20,grow7,GROW7,netlib
3,20,grow7,GROW7,netlib
4,20,grow7,GROW7,netlib
5,20,grow7,GROW7,netlib
6,20,grow7,GROW7,netlib
7,20,grow7,GROW7,netlib
8,20,grow7,GROW7,netlib
9,20,grow7,GROW7,netlib
10,20,grow7,GROW7,netlib
11,20,grow7,GROW7,netlib
12,20,grow7,GROW7,netlib
13,20,grow7,GROW7,netlib
14,20,grow7,GROW7,netlib
15,20,grow7,GROW7,netlib
16,20,grow7,GROW7,netlib
17,20,grow7,GROW7,netlib
18,20,grow7,GROW7,netlib
19,20,grow7,GROW7,netlib
20,20,grow7,GROW7,netlib
21,20,grow7,GROW7,netlib
22,20,grow7,GROW7,netlib
23,20,grow7,GROW7,netlib
24,20,grow7,GROW7,netlib
0,0,sc205,SC205,netlib
1,1,sc205,SC205,netlib
2,1,sc205,SC205,netlib
3,2,sc205,SC205,netlib
4,2,sc205,SC205,netlib
5,3,sc205,SC205,netlib
6,3,sc205,SC205,netlib
7,3,sc205,SC205,netlib
8,3,sc205,SC205,netlib
9,3,sc205,SC205,netlib
10,3,sc205,SC205,netlib
11,3,sc205,SC205,netlib
12,4,sc205,SC205,netlib
13,4,sc205,SC205,netlib
14,4,sc205,SC205,netlib
15,4,sc205,SC205,netlib
16,5,sc205,SC205,netlib
17,5,sc205,SC205,netlib
18,5,sc205,SC205,netlib
19,5,sc205,SC205,netlib
20,5,sc205,SC205,netlib
21,5,sc205,SC205,netlib
22,5,sc205,SC205,netlib
23,5,sc205,SC205,netlib
24,5,sc205,SC205,netlib
0,0,scagr25,SCAGR25,netlib
1,0,scagr25,SCAGR25,netlib
2,0,scagr25,SCAGR25,netlib
3,0,scagr25,SCAGR25,netlib
4,0,scagr25,SCAGR25,netlib
5,0,scagr25,SCAGR25,netlib
6,0,scagr25,SCAGR25,netlib
7,0,scagr25,SCAGR25,netlib
8,0,scagr25,SCAGR25,netlib
9,0,scagr25,SCAGR25,netlib
10,0,scagr25,SCAGR25,netlib
11,0,scagr25,SCAGR25,netlib
12,0,scagr25,SCAGR25,netlib
13,0,scagr25,SCAGR25,netlib
14,0,scagr25,SCAGR25,netlib
15,0,scagr25,SCAGR25,netlib
16,0,scagr25,SCAGR25,netlib
17,0,scagr25,SCAGR25,netlib
18,0,scagr25,SCAGR25,netlib
19,0,scagr25,SCAGR25,netlib
20,0,scagr25,SCAGR25,netlib
21,0,scagr25,SCAGR25,netlib
22,0,scagr25,SCAGR25,netlib
23,0,scagr25,SCAGR25,netlib
24,0,scagr25,SCAGR25,netlib
0,0,stair,STAIR,netlib
1,1,stair,STAIR,netlib
2,1,stair,STAIR,netlib
3,1,stair,STAIR,netlib
4,1,stair,STAIR,netlib
5,1,stair,STAIR,netlib
6,1,stair,STAIR,netlib
7,1,stair,STAIR,netlib
8,1,stair,STAIR,netlib
9,1,stair,STAIR,netlib
10,1,stair,STAIR,netlib
11,1,stair,STAIR,netlib
12,1,stair,STAIR,netlib
13,1,stair,STAIR,netlib
14,1,stair,STAIR,netlib
15,1,stair,STAIR,netlib
16,1,stair,STAIR,netlib
17,1,stair,STAIR,netlib
18,1,stair,STAIR,netlib
19,1,stair,STAIR,netlib
20,1,stair,STAIR,netlib
21,1,stair,STAIR,netlib
22,1,stair,STAIR,netlib
23,1,stair,STAIR,netlib
24,1,stair,STAIR,netlib
